,mlp,mlp_cos
2021-07-11 23:00:00,108.25333461925379,-0.31143692362951586
2021-07-12 00:00:00,107.07338425059224,-0.2827772850080904
2021-07-12 01:00:00,105.28931092490159,-0.25293983606557646
2021-07-12 02:00:00,105.16583431803566,-0.25034308611883077
2021-07-12 03:00:00,105.06540132057977,-0.2481088568673229
2021-07-12 04:00:00,107.44438329800215,-0.2883053238256715
2021-07-12 05:00:00,105.14665088377953,-0.249855044333551
2021-07-12 06:00:00,103.34502249624494,-0.2202300022966523
2021-07-12 07:00:00,103.37334996849879,-0.22166244807036767
2021-07-12 08:00:00,104.63986952682939,-0.24419017988131173
2021-07-12 09:00:00,104.31493832019628,-0.2387317172613735
2021-07-12 10:00:00,104.96873177698602,-0.25003693185278547
2021-07-12 11:00:00,105.74599000890453,-0.2635520026216397
2021-07-12 12:00:00,103.64155608252925,-0.22834198066686034
2021-07-12 13:00:00,105.97632463140256,-0.26819355049531024
2021-07-12 14:00:00,105.34919427926253,-0.2578163695084359
2021-07-12 15:00:00,106.69203353932463,-0.28108313237707466
2021-07-12 16:00:00,106.0656447357455,-0.2707256656167882
2021-07-12 17:00:00,104.46179606572316,-0.24374452975381755
2021-07-12 18:00:00,106.8917809132476,-0.28573400283983713
2021-07-12 19:00:00,107.46780043682195,-0.29613609345937036
2021-07-12 20:00:00,108.25034865901604,-0.31022242852770704
2021-07-12 21:00:00,104.39043461923687,-0.24402995838148803
2021-07-12 22:00:00,106.86628099074682,-0.28705138632330973
2021-07-12 23:00:00,103.98528026443769,-0.23781461579213709
2021-07-13 00:00:00,100.87339303199751,-0.17857982888053375
2021-07-13 01:00:00,104.20744613116005,-0.23607203412106426
2021-07-13 02:00:00,107.68383931293124,-0.29817660859184614
2021-07-13 03:00:00,108.06482636306319,-0.3046188705350295
2021-07-13 04:00:00,102.6494873049463,-0.2120847003140629
2021-07-13 05:00:00,105.93875270090003,-0.2674092536375895
2021-07-13 06:00:00,107.30506070350799,-0.290428711880406
2021-07-13 07:00:00,108.41687649263163,-0.3094579701507736
2021-07-13 08:00:00,104.5499967145204,-0.2438106711846409
2021-07-13 09:00:00,107.81461480825266,-0.29988770380988644
2021-07-13 10:00:00,104.8507371962769,-0.24955147254298646
2021-07-13 11:00:00,104.59183039810574,-0.24548157067610274
2021-07-13 12:00:00,106.32468448787536,-0.27540350534227936
2021-07-13 13:00:00,107.17854219840707,-0.2904500099151531
2021-07-13 14:00:00,107.94354510205584,-0.3040608397758767
2021-07-13 15:00:00,107.70569958512671,-0.30033111050663536
2021-07-13 16:00:00,107.11713957592379,-0.2896770708790891
2021-07-13 17:00:00,106.20027589616417,-0.2726361292087658
