Date/Time,%       Time,Hsig,Tm02,Dir,PkDir,Watlev,Hswell,Tp_smoothed,site,site_name,lon,lat,run
2021-01-01 13:00:00,20210101.13,1.81709,7.1438,67.806,67.5,0.716,0.6463,9.0684,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210101_1200
2021-01-01 14:00:00,20210101.14,1.80649,7.1833,69.39,67.5,0.4312,0.66301,9.0928,0, Brisbane WRB,153.6315552,-27.48715254,20210101_1200
2021-01-01 14:00:00,20210101.14,1.51328,6.6296,78.038,77.5,0.4312,0.47482,8.8125,1, Gold Coast WRB,153.4425023,-27.96396491,20210101_1200
2021-01-01 14:00:00,20210101.14,1.60208,6.3319,73.557,77.5,0.4312,0.35209,8.1407,2, Tweed Heads WRB,153.5759896,-28.18178849,20210101_1200
2021-01-01 14:00:00,20210101.14,1.60405,6.6868,70.946,67.5,0.4312,0.49196,8.8049,3, Palm Beach WRB,153.48481,-28.09982,20210101_1200
2021-01-01 14:00:00,20210101.14,1.83238,7.175,67.833,67.5,0.4312,0.67157,9.0965,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210101_1200
2021-01-01 15:00:00,20210101.15,1.82081,7.2181,69.525,67.5,0.0862,0.68981,9.1206,0, Brisbane WRB,153.6315552,-27.48715254,20210101_1200
2021-01-01 15:00:00,20210101.15,1.52815,6.7085,77.424,77.5,0.0862,0.50465,8.9333,1, Gold Coast WRB,153.4425023,-27.96396491,20210101_1200
2021-01-01 15:00:00,20210101.15,1.61921,6.4524,71.959,72.5,0.0862,0.39663,8.285,2, Tweed Heads WRB,153.5759896,-28.18178849,20210101_1200
2021-01-01 15:00:00,20210101.15,1.61491,6.7588,69.95,67.5,0.0862,0.5207,8.9312,3, Palm Beach WRB,153.48481,-28.09982,20210101_1200
2021-01-01 15:00:00,20210101.15,1.84495,7.2075,68.023,67.5,0.0862,0.69812,9.1234,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210101_1200
2021-01-01 16:00:00,20210101.16,1.83621,7.2569,69.792,67.5,-0.2388,0.7213,9.15,0, Brisbane WRB,153.6315552,-27.48715254,20210101_1200
2021-01-01 16:00:00,20210101.16,1.54739,6.782,77.033,77.5,-0.2388,0.53274,9.0011,1, Gold Coast WRB,153.4425023,-27.96396491,20210101_1200
2021-01-01 16:00:00,20210101.16,1.63563,6.5583,70.774,72.5,-0.2388,0.43787,8.3936,2, Tweed Heads WRB,153.5759896,-28.18178849,20210101_1200
2021-01-01 16:00:00,20210101.16,1.6286,6.8211,69.2,67.5,-0.2388,0.54665,8.998,3, Palm Beach WRB,153.48481,-28.09982,20210101_1200
2021-01-01 16:00:00,20210101.16,1.858,7.2424,68.325,67.5,-0.2388,0.72745,9.1516,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210101_1200
2021-01-01 17:00:00,20210101.17,1.85245,7.3044,70.1,67.5,-0.4878,0.76142,9.1878,0, Brisbane WRB,153.6315552,-27.48715254,20210101_1200
2021-01-01 17:00:00,20210101.17,1.56786,6.8497,76.728,77.5,-0.4878,0.56008,9.047,1, Gold Coast WRB,153.4425023,-27.96396491,20210101_1200
2021-01-01 17:00:00,20210101.17,1.65078,6.6611,69.675,67.5,-0.4878,0.47859,8.5263,2, Tweed Heads WRB,153.5759896,-28.18178849,20210101_1200
2021-01-01 17:00:00,20210101.17,1.63914,6.8733,68.614,67.5,-0.4878,0.5677,9.037,3, Palm Beach WRB,153.48481,-28.09982,20210101_1200
2021-01-01 17:00:00,20210101.17,1.87251,7.2936,68.679,67.5,-0.4878,0.77303,9.1952,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210101_1200
2021-01-01 18:00:00,20210101.18,1.868,7.3637,70.422,67.5,-0.6016,0.81227,9.2436,0, Brisbane WRB,153.6315552,-27.48715254,20210101_1200
2021-01-01 18:00:00,20210101.18,1.58679,6.9064,76.521,77.5,-0.6016,0.58588,9.0812,1, Gold Coast WRB,153.4425023,-27.96396491,20210101_1200
2021-01-01 18:00:00,20210101.18,1.66477,6.7489,68.859,62.5,-0.6016,0.51479,8.725,2, Tweed Heads WRB,153.5759896,-28.18178849,20210101_1200
2021-01-01 18:00:00,20210101.18,1.65171,6.9178,68.261,67.5,-0.6016,0.59027,9.0701,3, Palm Beach WRB,153.48481,-28.09982,20210101_1200
