,index,site_b,time_b,hs_b,hmax_b,tp_b,tm01_b,tm02_b,dpm_b,dm_b,dspr_b,hs_sa_b,hmax_sa_b,tm01_sa_b,tm02_sa_b,dm_sa_b,dspr_sa_b,hs_sw_b,hmax_sw_b,tm01_sw_b,tm02_sw_b,dm_sw_b,dspr_sw_b,index,site_a,time_a,hs_a,hmax_a,tp_a,tm01_a,tm02_a,dpm_a,dm_a,dspr_a,hs_sa_a,hmax_sa_a,tm01_sa_a,tm02_sa_a,dm_sa_a,dspr_sa_a,hs_sw_a,hmax_sw_a,tm01_sw_a,tm02_sw_a,dm_sw_a,dspr_sw_a,index,site_c,time_c,hs_c,hmax_c,tp_c,tm01_c,tm02_c,dpm_c,dm_c,dspr_c,hs_sa_c,hmax_sa_c,tm01_sa_c,tm02_sa_c,dm_sa_c,dspr_sa_c,hs_sw_c,hmax_sw_c,tm01_sw_c,tm02_sw_c,dm_sw_c,dspr_sw_c
11,37,563.0,2023-03-12 11:00:00,1.2939068868062855,2.34729565524048,13.119663,5.737341080661847,4.986721873837709,103.8923,83.93146,52.48679655048782,1.0202379761327736,1.879387593889783,4.3582845487288795,4.063795341432168,45.61367328696787,40.99675531772143,0.8124877685612262,1.3802061831721124,11.41830973893984,11.201502894328895,109.9320830393514,45.06813428650975,24,564.0,2023-03-12 11:00:00,1.248110809701579,2.258887537156301,13.117331,5.88195691282174,5.145764352948557,99.7028,80.17859,53.30486926822144,0.9805459937734168,1.802147629614733,4.476965542024626,4.19331447906923,40.972973130247226,43.70657368331445,0.7881372647168732,1.338840986956485,11.444823613791113,11.226674054318266,104.9707989491308,44.610009477248056,11,565.0,2023-03-12 11:00:00,1.3601687090520558,2.4773435980195804,13.051277,5.323796094519879,4.730549247113995,105.36594,68.230316,55.01099308764415,1.1373334041898655,2.0956115999406646,4.2982867225069255,4.049461493537291,27.450587400542986,44.00584780231187,0.7621687425773623,1.2950760358001034,11.409494246509816,11.18589633093211,104.29971640400461,44.840816289741745
12,38,563.0,2023-03-12 12:00:00,1.2852552562624942,2.330369427747435,13.091838,5.774193757145748,5.019518823906488,103.85277,84.17352,52.425208327319424,1.010485573638763,1.8608019894489118,4.379103789097418,4.083013717774897,45.79876129681213,40.63695910158272,0.810858011534284,1.3778087718783412,11.399909432616102,11.185094248985209,110.27110483684979,45.288168261033334,25,564.0,2023-03-12 12:00:00,1.2558115751448415,2.27133095067327,13.086965,5.901505828175223,5.18998320483713,99.41388,78.677765,53.08992322620191,0.9921746612575254,1.821460736191643,4.53088212974565,4.2553100578134755,39.27110278108921,42.753528539869,0.785647244962265,1.3346110886189178,11.429394931844293,11.213219513731007,105.15762472324434,44.82390203062496,12,565.0,2023-03-12 12:00:00,1.3879449434519084,2.5284338273213214,12.96966,5.292694607182502,4.721101202019241,105.77112,65.37207,54.84162679712826,1.170093502084952,2.155078622326735,4.3151764139392785,4.070951817769388,24.578945580456093,43.18263170521516,0.7623465438734723,1.2953781555078043,11.409256172318942,11.188017474793828,104.64430145203161,44.89348156188539
0,26,563.0,2023-03-12 12:00:00,1.2852552562624942,2.330369427747435,13.091838,5.774193757145748,5.019518823906488,103.85277,84.17352,52.425208327319424,1.010485573638763,1.8608019894489118,4.379103789097418,4.083013717774897,45.79876129681213,40.63695910158272,0.810858011534284,1.3778087718783412,11.399909432616102,11.185094248985209,110.27110483684979,45.288168261033334,13,564.0,2023-03-12 12:00:00,1.2558115751448415,2.27133095067327,13.086965,5.901505828175223,5.18998320483713,99.41388,78.677765,53.08992322620191,0.9921746612575254,1.821460736191643,4.53088212974565,4.2553100578134755,39.27110278108921,42.753528539869,0.785647244962265,1.3346110886189178,11.429394931844293,11.213219513731007,105.15762472324434,44.82390203062496,0,565.0,2023-03-12 12:00:00,1.3879449434519084,2.5284338273213214,12.96966,5.292694607182502,4.721101202019241,105.77112,65.37207,54.84162679712826,1.170093502084952,2.155078622326735,4.3151764139392785,4.070951817769388,24.578945580456093,43.18263170521516,0.7623465438734723,1.2953781555078043,11.409256172318942,11.188017474793828,104.64430145203161,44.89348156188539
1,27,563.0,2023-03-12 13:00:00,1.2353314121104964,2.2285271056872125,13.056853,6.136094013072512,5.361628620471456,103.85937,86.48688,52.06726280623444,0.948201924444936,1.7393528380636973,4.5979649305473815,4.3014415564670285,48.25041978830052,40.45743435106104,0.808361050776897,1.3735659397355666,11.381291811019361,11.168775656559335,110.6438043537728,45.360848996093935,14,564.0,2023-03-12 13:00:00,1.2510695999111887,2.259736072327649,13.066675,5.977979990431456,5.2779378678228905,99.104034,77.93109,53.106137970574416,0.987914038060285,1.8112306419833417,4.604596039231431,4.333624202383058,38.21172124012321,42.282107468327254,0.7833082854504858,1.3306378024904835,11.413534960193553,11.198969086178414,105.33005117959178,45.10463048312514,1,565.0,2023-03-12 13:00:00,1.3707769450759233,2.49088386133362,12.847992,5.455873325373523,4.8782491995939505,106.274666,65.94208,55.613353828331356,1.148679041038232,2.1109777156354856,4.43939744914158,4.193610428871586,24.26610212194447,44.02369933553425,0.7636326102322836,1.2975634376227765,11.394740807278485,11.177599814825781,105.221598847232,44.91252002991909
2,28,563.0,2023-03-12 14:00:00,1.1966680903050375,2.1496144647853277,13.025778,6.452692319045554,5.669548619291387,111.035835,88.563324,51.95432630494335,0.8988673340842799,1.6434604985166605,4.79034410098514,4.496413761962878,50.42361658714378,40.640250650068694,0.806553855450688,1.370863066020599,11.36372147848626,11.152135080618441,111.12772101733893,45.5763769371503,15,564.0,2023-03-12 14:00:00,1.2407967433913285,2.237873168105632,13.020452,6.07925501200367,5.382737994180608,104.39925,77.74103,53.30621722326887,0.9761114202580732,1.7870022517429136,4.684357273234519,4.414937105717177,37.50499989462048,42.18750987454271,0.7817119297395972,1.3282837914361825,11.393602390055149,11.180720601727142,105.56575190583098,45.27756187852163,2,565.0,2023-03-12 14:00:00,1.3408827509479422,2.433026374088697,12.782277,5.572887861159246,4.970034327483859,106.743706,67.49921,56.949064580958684,1.113957902196282,2.0453918290058724,4.50319030451318,4.2453242443596935,24.097877697993,45.56801602467054,0.7617992134965242,1.2944481325151873,11.383289473795475,11.16813579382653,105.73597981559533,45.00615221511379
3,29,563.0,2023-03-12 15:00:00,1.169108129576244,2.093025992263174,12.996088,6.7021178181351,5.919494983144345,110.87658,90.20784,52.104416791111525,0.8632375102241162,1.574110587741901,4.944424006900586,4.655369479185116,52.14994775004345,41.506067559716435,0.8050488966882002,1.3683051557590136,11.350613298024738,11.139894088422453,111.47805986387095,45.76043338164137,16,564.0,2023-03-12 15:00:00,1.2146390560143034,2.1853194190668384,12.974656,6.256347877272289,5.552959951318832,104.35672,78.77191,53.83889463297461,0.9448207963239874,1.7265087258212997,4.796263060669123,4.52665331715827,37.70377934951841,42.80528777271283,0.7790399561370012,1.3240989372318688,11.374231071865452,11.162574044555587,106.0155336527331,45.52870506489592,3,565.0,2023-03-12 15:00:00,1.3017606113856774,2.3600457060117352,12.750236,5.672095155350576,5.0311121837926835,107.152855,70.11145,58.75370038431025,1.0691055887622025,1.9626925871149195,4.53286268389066,4.25735473681547,24.309228184898416,47.891312305178644,0.7580212964481443,1.2883744731182984,11.372597159715522,11.158487884415925,106.34258289419523,45.17514110089137
4,30,563.0,2023-03-12 16:00:00,1.176440276672721,2.11884765225566,12.969245,6.408523134943144,5.482121026252575,110.73644,92.39111,55.535122364526416,0.8748356302299348,1.6054818946061684,4.663055798688613,4.274073575061066,54.095914769893625,50.98893906482724,0.8031679575424914,1.3651082086650792,11.3423446801241,11.132208719070258,111.79430066519637,45.92323317468108,17,564.0,2023-03-12 16:00:00,1.2028506178656824,2.171661311521332,12.93724,6.1310623535870565,5.307433896987628,104.41052,81.77991,57.34836103598321,0.9323414328232514,1.7108645230682145,4.63260614098047,4.278556578410178,39.32592645558441,50.846124550133204,0.7757992386847699,1.318590836523343,11.353317084415947,11.142519515012355,106.59582175904066,45.805290797412596,4,565.0,2023-03-12 16:00:00,1.2624577774064647,2.2875707806395913,12.72477,5.753678394857965,5.066119716333256,107.477356,73.69479,60.76662278581938,1.0230702234967808,1.8786727385964332,4.534806794258563,4.238254687062704,25.388288023727,51.05590398254326,0.7549665000876037,1.2831823740705055,11.359028976462959,11.145899408909118,107.04762583723496,45.35297359254583
5,31,563.0,2023-03-12 17:00:00,1.1892017006618574,2.150619574044291,12.955054,6.080195631648282,5.192899520284804,110.75589,95.537735,60.11063278866337,0.8939597571792567,1.6463580446738968,4.428733086920976,4.075947678399066,57.237461815118536,62.18431173382054,0.8008754697176551,1.3615758638745947,11.335943751604209,11.125881413691392,112.15913851374043,46.11520715398592,18,564.0,2023-03-12 17:00:00,1.2032974436714385,2.1813035641948977,12.911891,5.84424858293911,5.035390346909766,104.5167,87.1933,62.055431592576674,0.9363848440075984,1.724921145951615,4.398014976247848,4.064074587317397,44.91007683927012,63.466794078174985,0.7716408042492438,1.3118737361464596,11.33558757869499,11.125075209589998,107.16623229891496,46.04086241792334,5,565.0,2023-03-12 17:00:00,1.2276855242241393,2.2238472095716886,12.700476,5.81760050926933,5.0829337068621365,107.71248,77.98071,62.61778504621254,0.98136059874306,1.8033336031780205,4.519452704038377,4.202411422299145,28.00309748617849,55.12439339602009,0.7529899580605162,1.279822935088148,11.341907172561784,11.129576625264024,107.78816538005867,45.51866703252958
6,32,563.0,2023-03-12 18:00:00,1.2169846923814847,2.207284696777173,12.953011,5.81916091969304,4.999272786335101,110.87708,99.668045,63.6514086573815,0.9331570649811791,1.7216602366446236,4.288865885546907,3.9769187025583808,63.597655024417236,70.85432943984316,0.7979059206799404,1.3565273058287728,11.329375287299362,11.119037201773153,112.52252341200801,46.318900131097124,19,564.0,2023-03-12 18:00:00,1.2286181013368365,2.2346103164863678,12.9080515,5.5707093951101765,4.822177797593478,104.69463,93.8887,65.0932540584891,0.9729324257894193,1.7964933214479315,4.232330584742371,3.935708171744662,56.390044120014466,72.69701808553718,0.7662923916437501,1.3027808499375086,11.323378311888185,11.112595552854998,107.68269288346255,46.26264234872751,6,565.0,2023-03-12 18:00:00,1.2067346165995365,2.1884626102259235,12.6893015,5.7717382237180095,5.007130663837659,107.886795,83.650696,64.59600622854363,0.9566214478112869,1.7608731091320136,4.432386375949151,4.105940538009694,33.89077670408062,62.214803226632064,0.7510531381776958,1.2768724528303257,11.322705199674447,11.11054355639727,108.52759975313825,45.693864592810286
7,33,563.0,2023-03-12 19:00:00,1.2599095800280704,2.2933673059555293,12.97998,5.514803185661382,4.766477995369967,111.0887,105.36458,65.97854715377203,0.9923085530296506,1.8345983549168237,4.146817930198239,3.8655156924171634,78.05785567257374,75.8822907472308,0.7931094770527131,1.3483728272335298,11.327740249842613,11.116572299212542,112.87627570364148,46.51426602231227,20,564.0,2023-03-12 19:00:00,1.2707063724008212,2.318475258387183,12.927331,5.297721431178201,4.618651485811718,104.93855,101.907104,65.93967668228282,1.0300447877199648,1.9054088481870075,4.102601658370951,3.8360647629285127,80.6323282262369,74.10781671324794,0.7602296960652687,1.2924736045768914,11.315013700355692,11.103505771997291,108.20293491118625,46.50639810325935,7,565.0,2023-03-12 19:00:00,1.2034906803155105,2.1848699176866564,12.696458,5.680603122374817,4.936256619123798,107.98892,89.92169,65.15649596997874,0.9552004118752114,1.7600195826655123,4.354184546004281,4.04795927432557,44.58734795988579,68.81292494369123,0.7477676065698534,1.2716255009261228,11.305612246945433,11.092911582626447,109.16289857041215,45.889152878344234
8,34,563.0,2023-03-12 20:00:00,1.2995611989676303,2.369975641639537,13.033183,5.333262545949942,4.65302957713415,111.40132,111.85858,65.65118284444648,1.0465238999680748,1.9355905091706964,4.100433546948127,3.84428649824153,103.92095197432019,72.30358660000525,0.7873188827879285,1.3385281838569498,11.33053224375326,11.118111623653572,113.2825149573834,46.73034202712846,21,564.0,2023-03-12 20:00:00,1.3209174490212525,2.414445707481617,12.961833,5.116949458660985,4.511952443478619,105.16459,111.08855,64.71791940546676,1.09583526312991,2.027740226582081,4.062552312503933,3.823079737625521,119.38177618520638,68.63988740733924,0.7537498716963136,1.281457194664841,11.311205143461601,11.09860401104852,108.66504395062822,46.744861296742485,8,565.0,2023-03-12 20:00:00,1.2265582723502375,2.2326591409795142,12.70791,5.47300635895878,4.767173092273521,108.07463,96.78557,65.0285426394796,0.9874255412662114,1.8229619022963286,4.23182780001238,3.9451385341640512,61.57027486849182,72.86033516209444,0.7434608807653633,1.2643016448104398,11.292028460581204,11.078479780931074,109.67826448356212,46.09573159252909
9,35,563.0,2023-03-12 21:00:00,1.349344093594206,2.463842504170807,13.0661335,5.191171396099005,4.576625455514196,105.95491,119.20604,63.13051500501092,1.1116267044494197,2.0555184949277114,4.093748524221174,3.8571486146433838,131.9559050647656,66.1736984599933,0.7817793904120792,1.3291104411462975,11.336183719009304,11.122201920944077,113.76829534362756,46.97120151070816,22,564.0,2023-03-12 21:00:00,1.3846247628596975,2.533250764676423,13.004518,4.9919057856412525,4.456871673437761,105.40914,121.55263,62.231528691022575,1.1761442279565675,2.1748184022482717,4.07617689588331,3.8573686334800263,150.09076497845354,62.443221702082695,0.7469233260801514,1.269851320723063,11.313014058657462,11.099084043025663,109.05970963661318,46.96198766268136,9,565.0,2023-03-12 21:00:00,1.2678572066727762,2.3132767952402356,12.72156,5.261426986484167,4.621026737635269,108.16695,104.923035,63.99719434690782,1.0417059297684668,1.925166443988407,4.146283247526271,3.8873877964601866,89.53863630708531,70.99698967348198,0.7386628265188466,1.2561422540036016,11.282579401818854,11.06799184842681,110.09460550431788,46.321582753499825
10,36,563.0,2023-03-12 22:00:00,1.41135502578697,2.578295212936028,13.085753,5.094223048079143,4.542911660839309,106.60519,126.95735,59.801997341765976,1.1899740892180244,2.1983076504173793,4.1309652854984975,3.9095637030210018,149.06651497147044,60.22899170353825,0.7758519227543693,1.3186803812508194,11.34718251939826,11.131262610234117,114.30482568219409,47.19924723344198,23,564.0,2023-03-12 22:00:00,1.449649615419156,2.652217478177206,13.054814,4.935695355493257,4.4529629542218085,101.10481,131.57652,59.23977534187833,1.2559537238154612,2.3194557213959244,4.132290433627395,3.924504792594,164.2210461093814,57.092342369764026,0.7401917269230147,1.2584068661427932,11.318404049575067,11.103048698301667,109.45265852855422,47.17940662031012,10,565.0,2023-03-12 22:00:00,1.319191245275624,2.409928338721661,12.745701,5.12026146061608,4.547038413216745,108.27928,114.375305,61.87273215920565,1.1072582992200588,2.0459892474303527,4.132787933208263,3.897439201757637,123.01587997621448,65.56083668452591,0.7330919485792473,1.2466686282563761,11.279425235250155,11.063428569393269,110.41962192290194,46.5486827681044
11,37,563.0,2023-03-12 23:00:00,1.4723526174828907,2.6892174828242754,13.106035,5.06245299317205,4.5590921962918305,107.38942,134.32011,57.08670538392024,1.2653117366648179,2.333911061786915,4.206466745990418,3.993114379976028,159.0664185495471,55.779377808612345,0.7698958492009033,1.308557112732828,11.360103336804482,11.142236769572163,114.92639526850587,47.43625816192525,24,564.0,2023-03-12 23:00:00,1.518588626649609,2.7775733802396005,4.461158,4.916682589293962,4.474498553770044,189.39923,140.24307,55.811698474339835,1.3383696931697981,2.468064583463472,4.208318839229682,4.005926006576132,170.15828962986635,52.21439833221481,0.7337813930526599,1.2475085976762488,11.32627244670692,11.109559162733847,109.83398591225733,47.39308368388072,11,565.0,2023-03-12 23:00:00,1.3835642853041674,2.5291920221443998,12.77858,5.017736587236188,4.505109929795979,108.46607,124.9819,58.94126324472792,1.1869818210396479,2.1915539793238286,4.157279238282357,3.937788521344877,147.41617863569908,59.371451593060335,0.7267916066198241,1.2359545034002482,11.282386619028697,11.06474933411771,110.68030712400929,46.769657688743315
