Date/Time,%       Time,Hsig,Tm02,Dir,PkDir,Watlev,Hswell,Tp_smoothed,site,site_name,lon,lat,run
2021-06-24 16:00:00,20210624.16,1.38374,5.8734,74.619,97.5,-0.7291,0.49096,6.3869,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_1200
2021-06-24 16:00:00,20210624.16,1.20554,5.6889,65.372,47.5,-0.7291,0.33445,6.4826,3, Palm Beach WRB,153.48481,-28.09982,20210624_1200
2021-06-24 16:00:00,20210624.16,1.37743,5.7071,60.353,37.5,-0.7291,0.39716,6.498,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_1200
2021-06-24 17:00:00,20210624.17,1.31562,5.8728,65.936,37.5,-0.5058,0.3986,6.6956,0, Brisbane WRB,153.6315552,-27.48715254,20210624_1200
2021-06-24 17:00:00,20210624.17,1.18195,5.8682,73.585,52.5,-0.5058,0.36846,6.6655,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_1200
2021-06-24 17:00:00,20210624.17,1.39795,5.8897,73.085,37.5,-0.5058,0.48502,6.4462,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_1200
2021-06-24 17:00:00,20210624.17,1.2162,5.7022,64.004,42.5,-0.5058,0.32936,6.5284,3, Palm Beach WRB,153.48481,-28.09982,20210624_1200
2021-06-24 17:00:00,20210624.17,1.37165,5.7093,58.82,37.5,-0.5058,0.39414,6.5239,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_1200
2021-06-24 18:00:00,20210624.18,1.2981,5.8799,65.224,37.5,-0.1412,0.39629,6.7222,0, Brisbane WRB,153.6315552,-27.48715254,20210624_1200
2021-06-24 18:00:00,20210624.18,1.17553,5.8579,72.292,52.5,-0.1412,0.35936,6.6852,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_1200
2021-06-24 18:00:00,20210624.18,1.40626,5.9005,71.671,37.5,-0.1412,0.47798,6.4954,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_1200
2021-06-24 18:00:00,20210624.18,1.22074,5.7107,62.919,37.5,-0.1412,0.32437,6.5664,3, Palm Beach WRB,153.48481,-28.09982,20210624_1200
2021-06-24 18:00:00,20210624.18,1.36308,5.7157,57.788,37.5,-0.1412,0.3931,6.5459,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_1200
2021-06-24 19:00:00,20210624.19,1.28115,5.8889,64.618,37.5,0.2918,0.39513,6.7484,0, Brisbane WRB,153.6315552,-27.48715254,20210624_1200
2021-06-24 19:00:00,20210624.19,1.16895,5.8518,71.213,52.5,0.2918,0.35246,6.7043,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_1200
2021-06-24 19:00:00,20210624.19,1.40602,5.904,70.697,37.5,0.2918,0.47015,6.5356,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_1200
2021-06-24 19:00:00,20210624.19,1.21904,5.7144,62.025,37.5,0.2918,0.319,6.5964,3, Palm Beach WRB,153.48481,-28.09982,20210624_1200
2021-06-24 19:00:00,20210624.19,1.35035,5.718,56.768,37.5,0.2918,0.39298,6.5581,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_1200
2021-06-24 20:00:00,20210624.2,1.26437,5.9044,64.07,37.5,0.7064,0.39578,6.7799,0, Brisbane WRB,153.6315552,-27.48715254,20210624_1200
2021-06-24 20:00:00,20210624.2,1.1628,5.8526,70.372,52.5,0.7064,0.34757,6.7317,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_1200
2021-06-24 20:00:00,20210624.2,1.40194,5.9101,69.862,37.5,0.7064,0.46197,6.5724,2, Tweed Heads WRB,153.5759896,-28.18178849,20210624_1200
2021-06-24 20:00:00,20210624.2,1.21532,5.7207,61.348,37.5,0.7064,0.31494,6.6226,3, Palm Beach WRB,153.48481,-28.09982,20210624_1200
2021-06-24 20:00:00,20210624.2,1.33824,5.7246,55.966,32.5,0.7064,0.39386,6.5782,4, Tweed Heads Offshore WRB,153.680167,-28.212550,20210624_1200
2021-06-24 21:00:00,20210624.21,1.24941,5.9248,63.535,37.5,1.0053,0.39684,6.8138,0, Brisbane WRB,153.6315552,-27.48715254,20210624_1200
2021-06-24 21:00:00,20210624.21,1.15101,5.8475,69.49,52.5,1.0053,0.3422,6.753,1, Gold Coast WRB,153.4425023,-27.96396491,20210624_1200
