,ML
2021-07-14 23:00:00,1.390022771651914
2021-07-15 00:00:00,1.454429345054138
2021-07-15 01:00:00,1.4662457714513226
2021-07-15 02:00:00,1.4856959654502804
2021-07-15 03:00:00,1.4752638586300033
2021-07-15 04:00:00,1.4590491622071375
2021-07-15 05:00:00,1.4748343823368795
2021-07-15 06:00:00,1.5520813162584077
2021-07-15 07:00:00,1.515007390727556
2021-07-15 08:00:00,1.4863986356799488
2021-07-15 09:00:00,1.4379756674178852
2021-07-15 10:00:00,1.4342141574282146
2021-07-15 11:00:00,1.4387321587771378
2021-07-15 12:00:00,1.195774274069979
2021-07-15 13:00:00,1.229746406747189
2021-07-15 14:00:00,1.1776970632270256
2021-07-15 15:00:00,1.2208536570816897
2021-07-15 16:00:00,1.1983991024747016
2021-07-15 17:00:00,1.1952027067655973
2021-07-15 18:00:00,1.2475758689195355
2021-07-15 19:00:00,1.2779253702861415
2021-07-15 20:00:00,1.2907988786465594
2021-07-15 21:00:00,1.2870029119409705
2021-07-15 22:00:00,1.2689860627557912
2021-07-15 23:00:00,1.2608785303623442
2021-07-16 00:00:00,1.2369292468321422
2021-07-16 01:00:00,1.2701615607438732
2021-07-16 02:00:00,1.29465219728686
2021-07-16 03:00:00,1.2556715749797933
2021-07-16 04:00:00,1.262671515095906
2021-07-16 05:00:00,1.2280987207268825
2021-07-16 06:00:00,1.2056736312821004
2021-07-16 07:00:00,1.1638525866886513
2021-07-16 08:00:00,1.1487025271224651
2021-07-16 09:00:00,1.1996045705071727
2021-07-16 10:00:00,1.1988737619377154
2021-07-16 11:00:00,1.2227532111125825
2021-07-16 12:00:00,1.2205520169077437
2021-07-16 13:00:00,1.1757848638766089
2021-07-16 14:00:00,1.1779771219978306
2021-07-16 15:00:00,1.1448231538261269
2021-07-16 16:00:00,1.1052777520434318
2021-07-16 17:00:00,1.084290029481375
2021-07-16 18:00:00,1.0865379872868968
2021-07-16 19:00:00,1.0726782846857519
2021-07-16 20:00:00,1.094076162671105
2021-07-16 21:00:00,1.0811289382316944
2021-07-16 22:00:00,1.0156818235881062
2021-07-16 23:00:00,0.8959277246885188
2021-07-17 00:00:00,0.867301096520578
2021-07-17 01:00:00,0.811267578539414
2021-07-17 02:00:00,0.7441629506804235
2021-07-17 03:00:00,0.73683981646483
2021-07-17 04:00:00,0.7640020442173566
2021-07-17 05:00:00,0.8794839620853109
2021-07-17 06:00:00,1.0113787058480723
2021-07-17 07:00:00,0.7692781192190413
2021-07-17 08:00:00,0.7434070193600233
2021-07-17 09:00:00,0.7065725767411843
2021-07-17 10:00:00,0.672090851782695
2021-07-17 11:00:00,0.6465620737713477
2021-07-17 12:00:00,0.6967014621876549
2021-07-17 13:00:00,0.658524843541166
2021-07-17 14:00:00,0.6348342761870865
2021-07-17 15:00:00,0.6379053266900803
2021-07-17 16:00:00,0.6540181812942855
2021-07-17 17:00:00,0.6643213125539648
2021-07-17 18:00:00,0.6687523664997657
2021-07-17 19:00:00,0.9312023257855592
2021-07-17 20:00:00,0.8244237064950387
2021-07-17 21:00:00,0.6674514094265054
2021-07-17 22:00:00,0.8199087594965976
